Date,"Au Spot (USD/oz, LME…)"
Jan-2015,"1,278.50"
Feb-2015,"1,212.60"
Mar-2015,"1,183.10"
Apr-2015,"1,182.40"
May-2015,"1,189.40"
Jun-2015,"1,171.50"
Jul-2015,"1,094.90"
Aug-2015,"1,131.60"
Sep-2015,"1,115.50"
Oct-2015,"1,141.50"
Nov-2015,"1,065.80"
Dec-2015,"1,060.30"
Jan-2016,"1,116.40"
Feb-2016,"1,233.90"
Mar-2016,"1,234.20"
Apr-2016,"1,289.20"
May-2016,"1,214.80"
Jun-2016,"1,318.40"
Jul-2016,"1,349.00"
Aug-2016,"1,306.90"
Sep-2016,"1,313.30"
Oct-2016,"1,271.50"
Nov-2016,"1,170.80"
Dec-2016,"1,150.00"
Jan-2017,"1,208.60"
Feb-2017,"1,252.60"
Mar-2017,"1,247.30"
Apr-2017,"1,266.10"
May-2017,"1,272.00"
Jun-2017,"1,240.70"
Jul-2017,"1,266.60"
Aug-2017,"1,316.20"
Sep-2017,"1,281.50"
Oct-2017,"1,267.00"
Nov-2017,"1,273.20"
Dec-2017,"1,306.30"
Jan-2018,"1,339.00"
Feb-2018,"1,315.50"
Mar-2018,"1,322.80"
Apr-2018,"1,316.20"
May-2018,"1,300.10"
Jun-2018,"1,251.30"
Jul-2018,"1,223.70"
Aug-2018,"1,200.30"
Sep-2018,"1,191.50"
Oct-2018,"1,212.30"
Nov-2018,"1,220.20"
Dec-2018,"1,278.30"
Jan-2019,"1,319.70"
Feb-2019,"1,312.80"
Mar-2019,"1,293.00"
Apr-2019,"1,282.80"
May-2019,"1,305.80"
Jun-2019,"1,409.70"
Jul-2019,"1,426.10"
Aug-2019,"1,519.10"
Sep-2019,"1,465.70"
Oct-2019,"1,511.40"
Nov-2019,"1,465.60"
Dec-2019,"1,519.50"
Jan-2020,"1,587.90"
Feb-2020,"1,566.70"
Mar-2020,"1,592.10"
Apr-2020,"1,694.20"
May-2020,"1,751.70"
Jun-2020,"1,688.35"
