Year,Copper Forecast Price,Copper Stdv,Copper Forecast Price (+ 1 stdv.),Copper Forecast Price (- 1 stdv.)
2026-01-01,10961.19462,918.6006647,11879.79529,10042.59396
2027-01-01,10901.40512,1152.726275,12054.13139,9748.678842
2028-01-01,11048.15992,1282.081782,12330.2417,9766.078135
2029-01-01,11249.70358,1291.044512,12540.74809,9958.659071
2030-01-01,11454.78857,1532.788167,12987.57674,9922.000407
2031-01-01,9618.22386,1597.153522,11215.37738,8021.070338
2032-01-01,9618.22386,1597.153522,11215.37738,8021.070338
2033-01-01,9618.22386,1597.153522,11215.37738,8021.070338
2034-01-01,9618.22386,1597.153522,11215.37738,8021.070338
2035-01-01,9618.22386,1597.153522,11215.37738,8021.070338
