Year,Lead Forecast Price,Lead Stdv,Lead Forecast Price (+ 1 stdv.),Lead Forecast Price (- 1 stdv.)
Jan-26,2007.61081,80.58787923,2088.19869,1927.022931
Jan-27,2035.774635,138.6070851,2174.38172,1897.16755
Jan-28,2107.517422,147.7431762,2255.260598,1959.774246
Jan-29,2128.469539,174.8626153,2303.332154,1953.606924
Jan-30,2207.904356,204.1526774,2412.057033,2003.751678
Jan-31,1943.743208,175.8881777,2119.631386,1767.85503
Jan-32,1943.743208,175.8881777,2119.631386,1767.85503
Jan-33,1943.743208,175.8881777,2119.631386,1767.85503
Jan-34,1943.743208,175.8881777,2119.631386,1767.85503
Jan-35,1943.743208,175.8881777,2119.631386,1767.85503
