Year,Zinc Forecast Price,Zinc Stdv,Zinc Forecast Price (+ 1 stdv.),Zinc Forecast Price (- 1 stdv.)
2026-01-01,2899.826493,185.6798198,3085.506313,2714.146674
2027-01-01,2824.722758,251.5393595,3076.262118,2573.183399
2028-01-01,2838.657361,259.8486367,3098.505998,2578.808724
2029-01-01,2889.606636,294.9507787,3184.557415,2594.655858
2030-01-01,3015.611289,308.9708369,3324.582125,2706.640452
2031-01-01,2725.31136,338.5723894,3063.883749,2386.738971
2032-01-01,2725.31136,338.5723894,3063.883749,2386.738971
2033-01-01,2725.31136,338.5723894,3063.883749,2386.738971
2034-01-01,2725.31136,338.5723894,3063.883749,2386.738971
2035-01-01,2725.31136,338.5723894,3063.883749,2386.738971
